Make,Model,Model_Submodel,Submodel,Year,Vehicle Type
ATK,125,125 CC,CC,2001,Motorcycle
Harley-Davidson,Sportster 1200,Sportster 1200 XLH1200,XLH1200,1992,Motorcycle
Kawasaki,Voyager 1300,Voyager 1300 ZN1300A,ZN1300A,1981,Motorcycle
O.C. Choppers,Splitback,Splitback,--,2006,Motorcycle
Honda,TL125,TL125,--,1975,Motorcycle
Harley-Davidson,Tour Glide,Tour Glide Classic EFI FLTCI,Classic EFI FLTCI,1990,Motorcycle
Motor Trike,Road King,Road King Gladiator,Gladiator,2012,Motorcycle
Harley-Davidson,Fatboy,Fatboy Firefighter SE FLSTF,Firefighter SE FLSTF,2009,Motorcycle
Harley-Davidson,Racer,Racer Two Cam Eight Valve,Two Cam Eight Valve,1919,Motorcycle
Honda,CR450R,CR450R,--,1981,Motorcycle
Roadsmith,Ultra TS,Ultra TS Kit,Kit,2005,Motorcycle
Wild West,City Slicker,City Slicker 100,100,2019,Motorcycle
Yamaha,YL2,YL2 100,100,1967,Motorcycle
Pro-One,Hyper 4,Hyper 4,--,2007,Motorcycle
Honda,Super Sports Cub 50,Super Sports Cub 50 C110,C110,1960,Motorcycle
Moto Morini,K2 350,K2 350,--,1985,Motorcycle
Harley-Davidson,Low Rider,Low Rider FXRS,FXRS,1988,Motorcycle
BMW,R75,R75 7 745,7 745,1976,Motorcycle
Desperado,Shootist,Shootist,--,2003,Motorcycle
Big Dog,PitBull,PitBull,--,2007,Motorcycle
Yamaha,YZ250,YZ250 Team Yamaha,Team Yamaha,2012,Motorcycle
Lightning,LS7,LS7 520 FI,520 FI,2012,Motorcycle
California Customs,Terminator,Terminator S/S,S/S,2006,Motorcycle
LEM,LX2,LX2 SR,SR,2004,Motorcycle
Ducati,1098 S,1098 S Tricolore,Tricolore,2007,Motorcycle
BETA,RR,RR 400,400,2013,Motorcycle
Wild West,Havoc 124SS,Havoc 124SS,--,2019,Motorcycle
Husqvarna,CC175,CC175,--,1975,Motorcycle
Harley-Davidson,Dyna,Dyna Super Glide EFI FXDI,Super Glide EFI FXDI,2003,Motorcycle
Yamaha,FJ1100,FJ1100,--,1985,Motorcycle
BMW,R25,R25 3 Single 247,3 Single 247,1956,Motorcycle
Harley-Davidson,Dyna,Dyna Wide Glide FXDWG,Wide Glide FXDWG,2008,Motorcycle
V8 Choppers,HRB,HRB,--,2013,Motorcycle
Yamaha,Raider,Raider XV19C,XV19C,2016,Motorcycle
